text,label,prompt,prediction
for suddenly the sweet bells overcame,1,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
for suddenly the sweet bells overcame",0
with sharp turns weaving,2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
with sharp turns weaving",0
"these often bathed she in her fluxive eyes,",2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
these often bathed she in her fluxive eyes,",0
nothin' to du but watch my shadder's trace,2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
nothin' to du but watch my shadder's trace",0
"precisely, at all events, what he ought not,",2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
precisely, at all events, what he ought not,",0
"all hastening onward, yet none seemed to know",2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
all hastening onward, yet none seemed to know",0
she sought for flowers,2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
she sought for flowers",0
points beyond the midnight hour.,2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
points beyond the midnight hour.",0
"that i an accessary needs must be,",2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
that i an accessary needs must be,",0
"the sower scatters broad his seed,",2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
the sower scatters broad his seed,",0
"swifter far than happy night,",1,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
swifter far than happy night,",0
whose anvil's even din,2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
whose anvil's even din",0
"i see them mix'd with george's sons,",2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
i see them mix'd with george's sons,",0
that little barley-cake you keep from him,2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
that little barley-cake you keep from him",0
"breathe deep, and start, to see him pass the door.",2,"Classify the sentiment of the following text into one of the four categories: 0 (negative), 1 (positive), 2 (no_impact), 3 (mixed)
breathe deep, and start, to see him pass the door.",1
